"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"dist_1";"word_lex_2";"word_form_2";"word_gramm_2";"word_pos_2";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"посольство";"посольство";"S,inan,n,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"москва";"москве";"S,f,inan,loc,sg,topon";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"представление";"представление";"S,inan,n,nom,sg";"S";"1";"о";"о";"PR";"PR";"1";"сила";"силе";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"представление";"представление";"S,inan,n,nom,sg";"S";"1";"о";"о";"PR";"PR";"1";"смерть";"смерти";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"присяга";"присяга";"S,f,inan,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"верность";"верность";"S,acc,f,inan,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"пробка";"пробки";"S,f,inan,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"дорога";"дорогах";"S,f,inan,loc,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"работа";"работа";"S,f,inan,nom,sg";"S";"1";"по";"по";"PR";"PR";"1";"определение";"определению";"S,dat,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"работа";"работы";"S,f,inan,nom,pl";"S";"1";"по";"по";"PR";"PR";"1";"возведение";"возведению";"S,dat,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"работа";"работы";"S,f,inan,nom,pl";"S";"1";"по";"по";"PR";"PR";"1";"развитие";"развитию";"S,dat,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"разговор";"разговор";"S,inan,m,nom,sg";"S";"1";"о";"о";"PR";"PR";"1";"музыка";"музыке";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"разговор";"разговор";"S,inan,m,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"мама";"мамой";"S,anim,f,ins,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"разница";"разница";"S,f,inan,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"уровень";"уровне";"S,inan,loc,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"разногласие";"разногласие";"S,inan,n,nom,sg";"S";"1";"по";"по";"PR";"PR";"1";"вопрос";"вопросу";"S,dat,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
