"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"строить";"строить";"V,act,inf,ipf,tran";"V";"1";"будущее";"будущее";"S,acc,inan,n,sg";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"стучать";"стучать";"V,act,inf,intr,ipf";"V";"1";"нога";"ногами";"S,f,inan,ins,pl";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"сформулировать";"сформулировать";"V,act,inf,pf,tran";"V";"1";"задача";"задачу";"S,acc,f,inan,sg";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"сшить";"сшить";"V,act,inf,pf,tran";"V";"1";"платье";"платье";"S,acc,inan,n,sg";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"таскать";"таскать";"V,act,inf,ipf,tran";"V";"1";"тяжесть";"тяжести";"S,acc,f,inan,pl";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"тереть";"тереть";"V,act,inf,ipf,tran";"V";"1";"глаз";"глаза";"S,acc,inan,m,pl";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"толкнуть";"толкнуть";"V,act,inf,pf,tran";"V";"1";"дверь";"дверь";"S,acc,f,inan,sg";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"тратить";"тратить";"V,act,inf,ipf,tran";"V";"1";"деньги";"денег";"S,f,gen,inan,pl";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"убеждать";"убеждать";"V,act,inf,ipf,tran";"V";"1";"человек";"людей";"S,acc,anim,m,pl";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
"увеличивать";"увеличивать";"V,act,inf,ipf,tran";"V";"1";"объем";"объем";"S,acc,inan,m,sg";"S";"1.7e-05";"1.0614402476159605e-05";"2.7227052152108294e-05";"0.06350575108996342";"0.03965150597762843";"0.10171025864030836";"24.73364";"15.443106450614135";"39.6131827171454"
